"Source","DateOffset","HotFixID","Description","InstalledBy"
"Server16","-362","MSKB6965707","Security Update","NT AUTHORITY\SYSTEM"
"Server18","-362","MSKB3031289","Security Update","NT AUTHORITY\SYSTEM"
"Server19","-362","MSKB3764709","Update","NT AUTHORITY\SYSTEM"
"Server19","-362","MSKB5929485","Update","NT AUTHORITY\SYSTEM"
"Server19","-362","MSKB4176975","Security Update","NT AUTHORITY\SYSTEM"
"Server19","-362","MSKB5962056","Security Update","NT AUTHORITY\SYSTEM"
"Server19","-362","MSKB4296611","Security Update","NT AUTHORITY\SYSTEM"
"Server19","-362","MSKB3790660","Update","NT AUTHORITY\SYSTEM"
"Server21","-362","MSKB4385937","Update","NT AUTHORITY\SYSTEM"
"Server21","-362","MSKB1798761","Security Update","NT AUTHORITY\SYSTEM"
"Server21","-362","MSKB2481078","Security Update","NT AUTHORITY\SYSTEM"
"Server21","-362","MSKB5294446","Security Update","NT AUTHORITY\SYSTEM"
"Server21","-362","MSKB2085251","Security Update","NT AUTHORITY\SYSTEM"
"Server21","-362","MSKB9433824","Update","NT AUTHORITY\SYSTEM"
"Server22","-362","MSKB9728687","Security Update","NT AUTHORITY\SYSTEM"
"Server22","-362","MSKB4101260","Update","NT AUTHORITY\SYSTEM"
"Server24","-362","MSKB1616611","Security Update","NT AUTHORITY\SYSTEM"
"Server24","-362","MSKB9114273","Security Update","NT AUTHORITY\SYSTEM"
"Server24","-362","MSKB1546859","Update","NT AUTHORITY\SYSTEM"
"Server24","-362","MSKB1435520","Update","NT AUTHORITY\SYSTEM"
"Server24","-362","MSKB1977979","Update","NT AUTHORITY\SYSTEM"
"Server25","-362","MSKB2235742","Security Update","NT AUTHORITY\SYSTEM"
"Server25","-362","MSKB7804674","Update","NT AUTHORITY\SYSTEM"
"Server25","-362","MSKB7350696","Update","NT AUTHORITY\SYSTEM"
"Server25","-362","MSKB5147068","Security Update","NT AUTHORITY\SYSTEM"
"Server25","-362","MSKB9051973","Security Update","NT AUTHORITY\SYSTEM"
"Server25","-362","MSKB6134938","Update","NT AUTHORITY\SYSTEM"
"Server26","-362","MSKB5923495","Update","NT AUTHORITY\SYSTEM"
"Server26","-362","MSKB9506983","Update","NT AUTHORITY\SYSTEM"
"Server26","-362","MSKB8123124","Security Update","NT AUTHORITY\SYSTEM"
"Server26","-362","MSKB4419796","Security Update","NT AUTHORITY\SYSTEM"
"Server26","-362","MSKB8205461","Security Update","NT AUTHORITY\SYSTEM"
"Server26","-362","MSKB6008554","Update","NT AUTHORITY\SYSTEM"
"Server26","-362","MSKB2550105","Update","NT AUTHORITY\SYSTEM"
"Server27","-362","MSKB1617097","Update","NT AUTHORITY\SYSTEM"
"Server27","-362","MSKB3158933","Security Update","NT AUTHORITY\SYSTEM"
"Server27","-362","MSKB1185914","Update","NT AUTHORITY\SYSTEM"
"Server29","-362","MSKB4548847","Security Update","NT AUTHORITY\SYSTEM"
"Server29","-362","MSKB6823412","Update","NT AUTHORITY\SYSTEM"
"Server30","-362","MSKB9054711","Update","NT AUTHORITY\SYSTEM"
"Server30","-362","MSKB9455727","Security Update","NT AUTHORITY\SYSTEM"
"Server30","-362","MSKB9092251","Security Update","NT AUTHORITY\SYSTEM"
"Server30","-362","MSKB7603441","Security Update","NT AUTHORITY\SYSTEM"
"Server31","-362","MSKB3595789","Security Update","NT AUTHORITY\SYSTEM"
"Server32","-362","MSKB2838111","Security Update","NT AUTHORITY\SYSTEM"
"Server32","-362","MSKB8696152","Update","NT AUTHORITY\SYSTEM"
"Server34","-362","MSKB5897738","Security Update","NT AUTHORITY\SYSTEM"
"Server34","-362","MSKB3222493","Update","NT AUTHORITY\SYSTEM"
"Server34","-362","MSKB2428718","Security Update","NT AUTHORITY\SYSTEM"
"Server34","-362","MSKB5276330","Security Update","NT AUTHORITY\SYSTEM"
"Server34","-362","MSKB1209121","Update","NT AUTHORITY\SYSTEM"
"Server34","-362","MSKB3558092","Security Update","NT AUTHORITY\SYSTEM"
"Server34","-362","MSKB3626436","Security Update","NT AUTHORITY\SYSTEM"
"Server36","-362","MSKB9308315","Security Update","NT AUTHORITY\SYSTEM"
"Server36","-362","MSKB3292969","Security Update","NT AUTHORITY\SYSTEM"
"Server36","-362","MSKB4219746","Security Update","NT AUTHORITY\SYSTEM"
"Server36","-362","MSKB6320811","Update","NT AUTHORITY\SYSTEM"
"Server36","-362","MSKB3130153","Security Update","NT AUTHORITY\SYSTEM"
"Server36","-362","MSKB2188628","Security Update","NT AUTHORITY\SYSTEM"
"Server36","-362","MSKB7258988","Update","NT AUTHORITY\SYSTEM"
"Server38","-362","MSKB8292233","Update","NT AUTHORITY\SYSTEM"
"Server38","-362","MSKB3064607","Update","NT AUTHORITY\SYSTEM"
"Server38","-362","MSKB6912062","Update","NT AUTHORITY\SYSTEM"
"Server38","-362","MSKB4654148","Security Update","NT AUTHORITY\SYSTEM"
"Server38","-362","MSKB8298339","Update","NT AUTHORITY\SYSTEM"
"Server39","-362","MSKB2480311","Update","NT AUTHORITY\SYSTEM"
"Server39","-362","MSKB1360067","Update","NT AUTHORITY\SYSTEM"
"Server39","-362","MSKB5233024","Update","NT AUTHORITY\SYSTEM"
"Server40","-362","MSKB8751875","Update","NT AUTHORITY\SYSTEM"
"Server42","-362","MSKB4393767","Update","NT AUTHORITY\SYSTEM"
"Server42","-362","MSKB2958289","Security Update","NT AUTHORITY\SYSTEM"
"Server42","-362","MSKB8519286","Security Update","NT AUTHORITY\SYSTEM"
"Server42","-362","MSKB3556496","Update","NT AUTHORITY\SYSTEM"
"Server43","-362","MSKB4856559","Security Update","NT AUTHORITY\SYSTEM"
"Server43","-362","MSKB1234187","Security Update","NT AUTHORITY\SYSTEM"
"Server43","-362","MSKB1081460","Update","NT AUTHORITY\SYSTEM"
"Server43","-362","MSKB2456438","Update","NT AUTHORITY\SYSTEM"
"Server43","-362","MSKB7472696","Update","NT AUTHORITY\SYSTEM"
"Server45","-362","MSKB3895491","Update","NT AUTHORITY\SYSTEM"
"Server45","-362","MSKB7650007","Update","NT AUTHORITY\SYSTEM"
"Server45","-362","MSKB4670317","Security Update","NT AUTHORITY\SYSTEM"
"Server45","-362","MSKB7245230","Update","NT AUTHORITY\SYSTEM"
"Server45","-362","MSKB4222572","Update","NT AUTHORITY\SYSTEM"
"Server45","-362","MSKB6497126","Security Update","NT AUTHORITY\SYSTEM"
"Server47","-362","MSKB8925005","Update","NT AUTHORITY\SYSTEM"
"Server47","-362","MSKB5428178","Update","NT AUTHORITY\SYSTEM"
"Server47","-362","MSKB5494791","Update","NT AUTHORITY\SYSTEM"
"Server47","-362","MSKB8788956","Security Update","NT AUTHORITY\SYSTEM"
"Server47","-362","MSKB1535323","Update","NT AUTHORITY\SYSTEM"
"Server48","-362","MSKB5956804","Update","NT AUTHORITY\SYSTEM"
"Server48","-362","MSKB8967675","Security Update","NT AUTHORITY\SYSTEM"
"Server48","-362","MSKB1520961","Security Update","NT AUTHORITY\SYSTEM"
"Server48","-362","MSKB2495285","Update","NT AUTHORITY\SYSTEM"
"Server48","-362","MSKB6385289","Update","NT AUTHORITY\SYSTEM"
"Server48","-362","MSKB6176068","Security Update","NT AUTHORITY\SYSTEM"
"Server48","-362","MSKB9008953","Security Update","NT AUTHORITY\SYSTEM"
"Server49","-362","MSKB8781409","Security Update","NT AUTHORITY\SYSTEM"
"Server49","-362","MSKB2964533","Security Update","NT AUTHORITY\SYSTEM"
"Server50","-362","MSKB4848641","Update","NT AUTHORITY\SYSTEM"
"Server50","-362","MSKB7183635","Security Update","NT AUTHORITY\SYSTEM"
"Server50","-362","MSKB3453742","Security Update","NT AUTHORITY\SYSTEM"
"Server50","-362","MSKB9588759","Security Update","NT AUTHORITY\SYSTEM"
"Server51","-362","MSKB3893881","Security Update","NT AUTHORITY\SYSTEM"
"Server51","-362","MSKB7544654","Update","NT AUTHORITY\SYSTEM"
"Server51","-362","MSKB5162232","Update","NT AUTHORITY\SYSTEM"
"Server51","-362","MSKB5853509","Security Update","NT AUTHORITY\SYSTEM"
"Server51","-362","MSKB4920977","Update","NT AUTHORITY\SYSTEM"
"Server51","-362","MSKB8307143","Security Update","NT AUTHORITY\SYSTEM"
"Server52","-362","MSKB7863040","Update","NT AUTHORITY\SYSTEM"
"Server52","-362","MSKB5878467","Update","NT AUTHORITY\SYSTEM"
"Server52","-362","MSKB2480185","Update","NT AUTHORITY\SYSTEM"
"Server52","-362","MSKB6750574","Update","NT AUTHORITY\SYSTEM"
"Server54","-362","MSKB7328894","Security Update","NT AUTHORITY\SYSTEM"
"Server54","-362","MSKB8572065","Security Update","NT AUTHORITY\SYSTEM"
"Server54","-362","MSKB8750179","Security Update","NT AUTHORITY\SYSTEM"
"Server54","-362","MSKB3723864","Update","NT AUTHORITY\SYSTEM"
"Server54","-362","MSKB5770664","Security Update","NT AUTHORITY\SYSTEM"
"Server55","-362","MSKB8594070","Update","NT AUTHORITY\SYSTEM"
"Server55","-362","MSKB3941951","Security Update","NT AUTHORITY\SYSTEM"
"Server56","-362","MSKB6810110","Update","NT AUTHORITY\SYSTEM"
"Server56","-362","MSKB2827596","Update","NT AUTHORITY\SYSTEM"
"Server59","-362","MSKB1317196","Update","NT AUTHORITY\SYSTEM"
"Server59","-362","MSKB4773915","Update","NT AUTHORITY\SYSTEM"
"Server59","-362","MSKB9401709","Update","NT AUTHORITY\SYSTEM"
"Server59","-362","MSKB1255306","Security Update","NT AUTHORITY\SYSTEM"
"Server59","-362","MSKB6033349","Update","NT AUTHORITY\SYSTEM"
"Server59","-362","MSKB7950284","Update","NT AUTHORITY\SYSTEM"
"Server60","-362","MSKB3007438","Update","NT AUTHORITY\SYSTEM"
"Server60","-362","MSKB6508156","Security Update","NT AUTHORITY\SYSTEM"
"Server60","-362","MSKB5261568","Security Update","NT AUTHORITY\SYSTEM"
"Server60","-362","MSKB9503652","Security Update","NT AUTHORITY\SYSTEM"
"Server61","-362","MSKB9652415","Update","NT AUTHORITY\SYSTEM"
"Server62","-362","MSKB6740874","Security Update","NT AUTHORITY\SYSTEM"
"Server62","-362","MSKB9110186","Update","NT AUTHORITY\SYSTEM"
"Server62","-362","MSKB7168717","Security Update","NT AUTHORITY\SYSTEM"
"Server62","-362","MSKB9722862","Update","NT AUTHORITY\SYSTEM"
"Server62","-362","MSKB2790281","Update","NT AUTHORITY\SYSTEM"
"Server63","-362","MSKB9860252","Security Update","NT AUTHORITY\SYSTEM"
"Server63","-362","MSKB4059511","Update","NT AUTHORITY\SYSTEM"
"Server63","-362","MSKB5351214","Security Update","NT AUTHORITY\SYSTEM"
"Server63","-362","MSKB6755734","Update","NT AUTHORITY\SYSTEM"
"Server63","-362","MSKB7218389","Update","NT AUTHORITY\SYSTEM"
"Server64","-362","MSKB8015990","Security Update","NT AUTHORITY\SYSTEM"
"Server64","-362","MSKB2287236","Security Update","NT AUTHORITY\SYSTEM"
"Server64","-362","MSKB7575827","Security Update","NT AUTHORITY\SYSTEM"
"Server64","-362","MSKB6503478","Update","NT AUTHORITY\SYSTEM"
"Server64","-362","MSKB1805699","Update","NT AUTHORITY\SYSTEM"
"Server64","-362","MSKB7125630","Security Update","NT AUTHORITY\SYSTEM"
"Server65","-362","MSKB6349721","Update","NT AUTHORITY\SYSTEM"
"Server66","-362","MSKB5901505","Update","NT AUTHORITY\SYSTEM"
"Server66","-362","MSKB9260950","Update","NT AUTHORITY\SYSTEM"
"Server66","-362","MSKB1941386","Security Update","NT AUTHORITY\SYSTEM"
"Server66","-362","MSKB6845037","Update","NT AUTHORITY\SYSTEM"
"Server67","-362","MSKB5365431","Security Update","NT AUTHORITY\SYSTEM"
"Server67","-362","MSKB5188748","Update","NT AUTHORITY\SYSTEM"
"Server67","-362","MSKB2633994","Security Update","NT AUTHORITY\SYSTEM"
"Server68","-362","MSKB4715528","Update","NT AUTHORITY\SYSTEM"
"Server68","-362","MSKB8523464","Security Update","NT AUTHORITY\SYSTEM"
"Server68","-362","MSKB7713369","Security Update","NT AUTHORITY\SYSTEM"
"Server70","-362","MSKB1403028","Update","NT AUTHORITY\SYSTEM"
"Server70","-362","MSKB2562563","Security Update","NT AUTHORITY\SYSTEM"
"Server70","-362","MSKB7933356","Security Update","NT AUTHORITY\SYSTEM"
"Server71","-362","MSKB1938001","Update","NT AUTHORITY\SYSTEM"
"Server71","-362","MSKB5243944","Update","NT AUTHORITY\SYSTEM"
"Server71","-362","MSKB4105412","Security Update","NT AUTHORITY\SYSTEM"
"Server72","-362","MSKB2520452","Update","NT AUTHORITY\SYSTEM"
"Server72","-362","MSKB8540065","Update","NT AUTHORITY\SYSTEM"
"Server72","-362","MSKB7355550","Security Update","NT AUTHORITY\SYSTEM"
"Server72","-362","MSKB1953681","Security Update","NT AUTHORITY\SYSTEM"
"Server72","-362","MSKB5367865","Security Update","NT AUTHORITY\SYSTEM"
"Server73","-362","MSKB1900358","Security Update","NT AUTHORITY\SYSTEM"
"Server73","-362","MSKB6333005","Update","NT AUTHORITY\SYSTEM"
"Server73","-362","MSKB4347146","Security Update","NT AUTHORITY\SYSTEM"
"Server73","-362","MSKB7306511","Update","NT AUTHORITY\SYSTEM"
"Server76","-362","MSKB2388132","Security Update","NT AUTHORITY\SYSTEM"
"Server76","-362","MSKB2594480","Update","NT AUTHORITY\SYSTEM"
"Server76","-362","MSKB3117398","Update","NT AUTHORITY\SYSTEM"
"Server77","-362","MSKB8151429","Security Update","NT AUTHORITY\SYSTEM"
"Server77","-362","MSKB5167661","Update","NT AUTHORITY\SYSTEM"
"Server77","-362","MSKB4073946","Security Update","NT AUTHORITY\SYSTEM"
"Server77","-362","MSKB5709973","Security Update","NT AUTHORITY\SYSTEM"
"Server77","-362","MSKB2160528","Update","NT AUTHORITY\SYSTEM"
"Server77","-362","MSKB2942250","Security Update","NT AUTHORITY\SYSTEM"
"Server79","-362","MSKB8787403","Security Update","NT AUTHORITY\SYSTEM"
"Server79","-362","MSKB8573588","Security Update","NT AUTHORITY\SYSTEM"
"Server79","-362","MSKB1210700","Security Update","NT AUTHORITY\SYSTEM"
"Server79","-362","MSKB6608258","Update","NT AUTHORITY\SYSTEM"
"Server80","-362","MSKB2273998","Security Update","NT AUTHORITY\SYSTEM"
"Server81","-362","MSKB1626403","Security Update","NT AUTHORITY\SYSTEM"
"Server81","-362","MSKB1990447","Update","NT AUTHORITY\SYSTEM"
"Server81","-362","MSKB2023369","Update","NT AUTHORITY\SYSTEM"
"Server81","-362","MSKB7160332","Security Update","NT AUTHORITY\SYSTEM"
"Server81","-362","MSKB7748387","Update","NT AUTHORITY\SYSTEM"
"Server81","-362","MSKB8997302","Security Update","NT AUTHORITY\SYSTEM"
"Server82","-362","MSKB6470670","Update","NT AUTHORITY\SYSTEM"
"Server82","-362","MSKB8921693","Security Update","NT AUTHORITY\SYSTEM"
"Server82","-362","MSKB4642825","Update","NT AUTHORITY\SYSTEM"
"Server82","-362","MSKB7367875","Update","NT AUTHORITY\SYSTEM"
"Server82","-362","MSKB6508198","Security Update","NT AUTHORITY\SYSTEM"
"Server82","-362","MSKB5196064","Update","NT AUTHORITY\SYSTEM"
"Server83","-362","MSKB4178783","Update","NT AUTHORITY\SYSTEM"
"Server83","-362","MSKB9687837","Update","NT AUTHORITY\SYSTEM"
"Server83","-362","MSKB2100317","Update","NT AUTHORITY\SYSTEM"
"Server83","-362","MSKB5613013","Security Update","NT AUTHORITY\SYSTEM"
"Server83","-362","MSKB1203757","Update","NT AUTHORITY\SYSTEM"
"Server83","-362","MSKB7379601","Security Update","NT AUTHORITY\SYSTEM"
"Server83","-362","MSKB3967886","Update","NT AUTHORITY\SYSTEM"
"Server84","-362","MSKB2895851","Security Update","NT AUTHORITY\SYSTEM"
"Server84","-362","MSKB2380707","Security Update","NT AUTHORITY\SYSTEM"
"Server84","-362","MSKB2549132","Update","NT AUTHORITY\SYSTEM"
"Server84","-362","MSKB7414641","Update","NT AUTHORITY\SYSTEM"
"Server84","-362","MSKB2434060","Update","NT AUTHORITY\SYSTEM"
"Server84","-362","MSKB7944342","Update","NT AUTHORITY\SYSTEM"
"Server84","-362","MSKB5963603","Security Update","NT AUTHORITY\SYSTEM"
"Server85","-362","MSKB2863746","Security Update","NT AUTHORITY\SYSTEM"
"Server85","-362","MSKB6073558","Update","NT AUTHORITY\SYSTEM"
"Server85","-362","MSKB9644843","Security Update","NT AUTHORITY\SYSTEM"
"Server85","-362","MSKB8069332","Security Update","NT AUTHORITY\SYSTEM"
"Server85","-362","MSKB7684309","Update","NT AUTHORITY\SYSTEM"
"Server85","-362","MSKB5544053","Security Update","NT AUTHORITY\SYSTEM"
"Server85","-362","MSKB9175745","Update","NT AUTHORITY\SYSTEM"
"Server87","-362","MSKB8466257","Update","NT AUTHORITY\SYSTEM"
"Server87","-362","MSKB3074525","Update","NT AUTHORITY\SYSTEM"
"Server87","-362","MSKB5210029","Security Update","NT AUTHORITY\SYSTEM"
"Server87","-362","MSKB3289158","Security Update","NT AUTHORITY\SYSTEM"
"Server87","-362","MSKB1161229","Update","NT AUTHORITY\SYSTEM"
"Server87","-362","MSKB2796996","Update","NT AUTHORITY\SYSTEM"
"Server88","-362","MSKB1971074","Update","NT AUTHORITY\SYSTEM"
"Server88","-362","MSKB4324600","Security Update","NT AUTHORITY\SYSTEM"
"Server89","-362","MSKB4166763","Security Update","NT AUTHORITY\SYSTEM"
"Server89","-362","MSKB5909462","Update","NT AUTHORITY\SYSTEM"
"Server89","-362","MSKB7721636","Security Update","NT AUTHORITY\SYSTEM"
"Server90","-362","MSKB7860936","Update","NT AUTHORITY\SYSTEM"
"Server90","-362","MSKB2876436","Security Update","NT AUTHORITY\SYSTEM"
"Server90","-362","MSKB4968666","Update","NT AUTHORITY\SYSTEM"
"Server91","-362","MSKB4786220","Security Update","NT AUTHORITY\SYSTEM"
"Server92","-362","MSKB9342203","Update","NT AUTHORITY\SYSTEM"
"Server92","-362","MSKB1589143","Security Update","NT AUTHORITY\SYSTEM"
"Server92","-362","MSKB8135838","Update","NT AUTHORITY\SYSTEM"
"Server94","-362","MSKB5653047","Update","NT AUTHORITY\SYSTEM"
"Server94","-362","MSKB3314189","Security Update","NT AUTHORITY\SYSTEM"
"Server95","-362","MSKB1587207","Security Update","NT AUTHORITY\SYSTEM"
"Server95","-362","MSKB7036205","Security Update","NT AUTHORITY\SYSTEM"
"Server95","-362","MSKB7809128","Security Update","NT AUTHORITY\SYSTEM"
"Server95","-362","MSKB3045950","Update","NT AUTHORITY\SYSTEM"
"Server95","-362","MSKB4681005","Security Update","NT AUTHORITY\SYSTEM"
"Server96","-362","MSKB6556420","Security Update","NT AUTHORITY\SYSTEM"
"Server96","-362","MSKB7448377","Update","NT AUTHORITY\SYSTEM"
"Server96","-362","MSKB6337725","Security Update","NT AUTHORITY\SYSTEM"
"Server97","-362","MSKB2608746","Security Update","NT AUTHORITY\SYSTEM"
"Server97","-362","MSKB2138752","Update","NT AUTHORITY\SYSTEM"
"Server99","-362","MSKB6027468","Security Update","NT AUTHORITY\SYSTEM"
"Server99","-362","MSKB4885058","Update","NT AUTHORITY\SYSTEM"
"Server99","-362","MSKB4801741","Security Update","NT AUTHORITY\SYSTEM"
"Server99","-362","MSKB2774186","Update","NT AUTHORITY\SYSTEM"
"Server99","-362","MSKB3490761","Update","NT AUTHORITY\SYSTEM"
"Server99","-362","MSKB9398124","Security Update","NT AUTHORITY\SYSTEM"
"Server99","-362","MSKB9623049","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-355","MSKB4749599","Update","NT AUTHORITY\SYSTEM"
"Server0","-355","MSKB4976076","Update","NT AUTHORITY\SYSTEM"
"Server0","-355","MSKB8484493","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-355","MSKB5140883","Update","NT AUTHORITY\SYSTEM"
"Server0","-355","MSKB6867411","Security Update","NT AUTHORITY\SYSTEM"
"Server0","-355","MSKB3450021","Security Update","NT AUTHORITY\SYSTEM"
"Server2","-355","MSKB2580830","Security Update","NT AUTHORITY\SYSTEM"
"Server2","-355","MSKB4510293","Security Update","NT AUTHORITY\SYSTEM"
"Server3","-355","MSKB1804780","Update","NT AUTHORITY\SYSTEM"
"Server4","-355","MSKB5345288","Security Update","NT AUTHORITY\SYSTEM"
"Server5","-355","MSKB3238024","Security Update","NT AUTHORITY\SYSTEM"
"Server6","-355","MSKB5198605","Security Update","NT AUTHORITY\SYSTEM"
"Server6","-355","MSKB8445004","Update","NT AUTHORITY\SYSTEM"
"Server6","-355","MSKB1729090","Update","NT AUTHORITY\SYSTEM"
"Server6","-355","MSKB6220275","Security Update","NT AUTHORITY\SYSTEM"
"Server6","-355","MSKB2206428","Update","NT AUTHORITY\SYSTEM"
"Server6","-355","MSKB3467734","Update","NT AUTHORITY\SYSTEM"
"Server8","-355","MSKB8437320","Update","NT AUTHORITY\SYSTEM"
"Server8","-355","MSKB4431013","Security Update","NT AUTHORITY\SYSTEM"
"Server9","-355","MSKB7118127","Update","NT AUTHORITY\SYSTEM"
"Server9","-355","MSKB4935927","Security Update","NT AUTHORITY\SYSTEM"
"Server9","-355","MSKB5865283","Update","NT AUTHORITY\SYSTEM"
"Server9","-355","MSKB1526236","Security Update","NT AUTHORITY\SYSTEM"
"Server9","-355","MSKB4225870","Update","NT AUTHORITY\SYSTEM"
"Server10","-355","MSKB7382852","Security Update","NT AUTHORITY\SYSTEM"
"Server10","-355","MSKB1763308","Update","NT AUTHORITY\SYSTEM"
"Server10","-355","MSKB4047987","Security Update","NT AUTHORITY\SYSTEM"
"Server10","-355","MSKB8874858","Update","NT AUTHORITY\SYSTEM"
"Server10","-355","MSKB5769525","Update","NT AUTHORITY\SYSTEM"
"Server10","-355","MSKB5787484","Security Update","NT AUTHORITY\SYSTEM"
"Server10","-355","MSKB6815646","Security Update","NT AUTHORITY\SYSTEM"
"Server12","-355","MSKB3548288","Security Update","NT AUTHORITY\SYSTEM"
"Server12","-355","MSKB1688505","Security Update","NT AUTHORITY\SYSTEM"
"Server12","-355","MSKB7488101","Security Update","NT AUTHORITY\SYSTEM"
"Server12","-355","MSKB4825339","Security Update","NT AUTHORITY\SYSTEM"
"Server12","-355","MSKB9320494","Update","NT AUTHORITY\SYSTEM"
"Server12","-355","MSKB9877131","Security Update","NT AUTHORITY\SYSTEM"
"Server14","-355","MSKB4798638","Security Update","NT AUTHORITY\SYSTEM"
"Server14","-355","MSKB9481318","Update","NT AUTHORITY\SYSTEM"
"Server14","-355","MSKB6875006","Security Update","NT AUTHORITY\SYSTEM"
"Server15","-355","MSKB1628166","Update","NT AUTHORITY\SYSTEM"
"Server16","-355","MSKB5302139","Update","NT AUTHORITY\SYSTEM"
"Server16","-355","MSKB5282427","Security Update","NT AUTHORITY\SYSTEM"
"Server16","-355","MSKB7748006","Update","NT AUTHORITY\SYSTEM"
"Server16","-355","MSKB6206164","Update","NT AUTHORITY\SYSTEM"
"Server16","-355","MSKB5584118","Security Update","NT AUTHORITY\SYSTEM"
"Server17","-355","MSKB1008172","Update","NT AUTHORITY\SYSTEM"
"Server18","-355","MSKB4949611","Security Update","NT AUTHORITY\SYSTEM"
"Server18","-355","MSKB9601978","Update","NT AUTHORITY\SYSTEM"
"Server18","-355","MSKB6423522","Security Update","NT AUTHORITY\SYSTEM"
"Server18","-355","MSKB2015577","Security Update","NT AUTHORITY\SYSTEM"
"Server18","-355","MSKB4509213","Security Update","NT AUTHORITY\SYSTEM"
"Server18","-355","MSKB3131865","Update","NT AUTHORITY\SYSTEM"
"Server20","-355","MSKB9643905","Update","NT AUTHORITY\SYSTEM"
"Server21","-355","MSKB6993692","Update","NT AUTHORITY\SYSTEM"
"Server21","-355","MSKB6568507","Security Update","NT AUTHORITY\SYSTEM"
