"Source","InstalledOn","HotFixID","Description","InstalledBy"
"Server21","11/9/2019 12:00:00 AM","MSKB4053297","Update","NT AUTHORITY\SYSTEM"
"Server21","11/9/2019 12:00:00 AM","MSKB3613503","Update","NT AUTHORITY\SYSTEM"
"Server21","11/9/2019 12:00:00 AM","MSKB8968545","Update","NT AUTHORITY\SYSTEM"
"Server21","11/9/2019 12:00:00 AM","MSKB2513955","Security Update","NT AUTHORITY\SYSTEM"
"Server23","11/9/2019 12:00:00 AM","MSKB7007171","Update","NT AUTHORITY\SYSTEM"
"Server24","11/9/2019 12:00:00 AM","MSKB4003200","Update","NT AUTHORITY\SYSTEM"
"Server24","11/9/2019 12:00:00 AM","MSKB6358150","Security Update","NT AUTHORITY\SYSTEM"
"Server24","11/9/2019 12:00:00 AM","MSKB9280833","Update","NT AUTHORITY\SYSTEM"
"Server24","11/9/2019 12:00:00 AM","MSKB8400954","Update","NT AUTHORITY\SYSTEM"
"Server25","11/9/2019 12:00:00 AM","MSKB4308327","Security Update","NT AUTHORITY\SYSTEM"
"Server25","11/9/2019 12:00:00 AM","MSKB5699781","Update","NT AUTHORITY\SYSTEM"
"Server25","11/9/2019 12:00:00 AM","MSKB6463912","Security Update","NT AUTHORITY\SYSTEM"
"Server25","11/9/2019 12:00:00 AM","MSKB6390402","Security Update","NT AUTHORITY\SYSTEM"
"Server26","11/9/2019 12:00:00 AM","MSKB3271729","Security Update","NT AUTHORITY\SYSTEM"
"Server26","11/9/2019 12:00:00 AM","MSKB1602634","Update","NT AUTHORITY\SYSTEM"
"Server27","11/9/2019 12:00:00 AM","MSKB7908472","Update","NT AUTHORITY\SYSTEM"
"Server27","11/9/2019 12:00:00 AM","MSKB2615641","Security Update","NT AUTHORITY\SYSTEM"
"Server27","11/9/2019 12:00:00 AM","MSKB5572953","Update","NT AUTHORITY\SYSTEM"
"Server29","11/9/2019 12:00:00 AM","MSKB1648388","Update","NT AUTHORITY\SYSTEM"
"Server29","11/9/2019 12:00:00 AM","MSKB4618888","Update","NT AUTHORITY\SYSTEM"
"Server29","11/9/2019 12:00:00 AM","MSKB1806340","Security Update","NT AUTHORITY\SYSTEM"
"Server29","11/9/2019 12:00:00 AM","MSKB2983088","Update","NT AUTHORITY\SYSTEM"
"Server30","11/9/2019 12:00:00 AM","MSKB3103578","Update","NT AUTHORITY\SYSTEM"
"Server30","11/9/2019 12:00:00 AM","MSKB6139306","Security Update","NT AUTHORITY\SYSTEM"
"Server31","11/9/2019 12:00:00 AM","MSKB4647637","Update","NT AUTHORITY\SYSTEM"
"Server31","11/9/2019 12:00:00 AM","MSKB1961149","Update","NT AUTHORITY\SYSTEM"
"Server31","11/9/2019 12:00:00 AM","MSKB4104995","Security Update","NT AUTHORITY\SYSTEM"
"Server33","11/9/2019 12:00:00 AM","MSKB7487303","Update","NT AUTHORITY\SYSTEM"
"Server33","11/9/2019 12:00:00 AM","MSKB3115983","Security Update","NT AUTHORITY\SYSTEM"
"Server35","11/9/2019 12:00:00 AM","MSKB1680510","Security Update","NT AUTHORITY\SYSTEM"
"Server36","11/9/2019 12:00:00 AM","MSKB2109371","Update","NT AUTHORITY\SYSTEM"
"Server36","11/9/2019 12:00:00 AM","MSKB4648272","Update","NT AUTHORITY\SYSTEM"
"Server36","11/9/2019 12:00:00 AM","MSKB2933730","Update","NT AUTHORITY\SYSTEM"
"Server36","11/9/2019 12:00:00 AM","MSKB4750062","Update","NT AUTHORITY\SYSTEM"
"Server37","11/9/2019 12:00:00 AM","MSKB5236619","Update","NT AUTHORITY\SYSTEM"
"Server38","11/9/2019 12:00:00 AM","MSKB4080151","Update","NT AUTHORITY\SYSTEM"
"Server38","11/9/2019 12:00:00 AM","MSKB3807198","Security Update","NT AUTHORITY\SYSTEM"
"Server39","11/9/2019 12:00:00 AM","MSKB4558139","Update","NT AUTHORITY\SYSTEM"
"Server39","11/9/2019 12:00:00 AM","MSKB9783988","Security Update","NT AUTHORITY\SYSTEM"
"Server39","11/9/2019 12:00:00 AM","MSKB1968600","Update","NT AUTHORITY\SYSTEM"
"Server40","11/9/2019 12:00:00 AM","MSKB8184462","Update","NT AUTHORITY\SYSTEM"
"Server43","11/9/2019 12:00:00 AM","MSKB6853060","Update","NT AUTHORITY\SYSTEM"
"Server43","11/9/2019 12:00:00 AM","MSKB1566432","Update","NT AUTHORITY\SYSTEM"
"Server43","11/9/2019 12:00:00 AM","MSKB7067262","Security Update","NT AUTHORITY\SYSTEM"
"Server43","11/9/2019 12:00:00 AM","MSKB5123544","Security Update","NT AUTHORITY\SYSTEM"
"Server44","11/9/2019 12:00:00 AM","MSKB9994838","Update","NT AUTHORITY\SYSTEM"
"Server44","11/9/2019 12:00:00 AM","MSKB4773088","Update","NT AUTHORITY\SYSTEM"
"Server45","11/9/2019 12:00:00 AM","MSKB6099094","Update","NT AUTHORITY\SYSTEM"
"Server45","11/9/2019 12:00:00 AM","MSKB9706322","Update","NT AUTHORITY\SYSTEM"
"Server47","11/9/2019 12:00:00 AM","MSKB6516617","Update","NT AUTHORITY\SYSTEM"
"Server49","11/9/2019 12:00:00 AM","MSKB3971626","Security Update","NT AUTHORITY\SYSTEM"
"Server49","11/9/2019 12:00:00 AM","MSKB3764780","Update","NT AUTHORITY\SYSTEM"
"Server50","11/9/2019 12:00:00 AM","MSKB7840278","Update","NT AUTHORITY\SYSTEM"
"Server50","11/9/2019 12:00:00 AM","MSKB8446157","Security Update","NT AUTHORITY\SYSTEM"
"Server50","11/9/2019 12:00:00 AM","MSKB7561934","Update","NT AUTHORITY\SYSTEM"
"Server50","11/9/2019 12:00:00 AM","MSKB5204677","Security Update","NT AUTHORITY\SYSTEM"
"Server51","11/9/2019 12:00:00 AM","MSKB9042140","Update","NT AUTHORITY\SYSTEM"
"Server51","11/9/2019 12:00:00 AM","MSKB9218457","Update","NT AUTHORITY\SYSTEM"
"Server51","11/9/2019 12:00:00 AM","MSKB6907277","Update","NT AUTHORITY\SYSTEM"
"Server52","11/9/2019 12:00:00 AM","MSKB4866848","Security Update","NT AUTHORITY\SYSTEM"
"Server52","11/9/2019 12:00:00 AM","MSKB8440529","Security Update","NT AUTHORITY\SYSTEM"
"Server53","11/9/2019 12:00:00 AM","MSKB6242179","Security Update","NT AUTHORITY\SYSTEM"
"Server54","11/9/2019 12:00:00 AM","MSKB5686730","Security Update","NT AUTHORITY\SYSTEM"
"Server54","11/9/2019 12:00:00 AM","MSKB6961889","Security Update","NT AUTHORITY\SYSTEM"
"Server54","11/9/2019 12:00:00 AM","MSKB7987229","Security Update","NT AUTHORITY\SYSTEM"
"Server55","11/9/2019 12:00:00 AM","MSKB8453497","Security Update","NT AUTHORITY\SYSTEM"
"Server55","11/9/2019 12:00:00 AM","MSKB8157256","Update","NT AUTHORITY\SYSTEM"
"Server55","11/9/2019 12:00:00 AM","MSKB6075901","Security Update","NT AUTHORITY\SYSTEM"
"Server55","11/9/2019 12:00:00 AM","MSKB9817685","Update","NT AUTHORITY\SYSTEM"
"Server57","11/9/2019 12:00:00 AM","MSKB9972660","Update","NT AUTHORITY\SYSTEM"
"Server57","11/9/2019 12:00:00 AM","MSKB1790152","Update","NT AUTHORITY\SYSTEM"
"Server57","11/9/2019 12:00:00 AM","MSKB2894379","Security Update","NT AUTHORITY\SYSTEM"
"Server58","11/9/2019 12:00:00 AM","MSKB4818658","Update","NT AUTHORITY\SYSTEM"
"Server58","11/9/2019 12:00:00 AM","MSKB2202306","Update","NT AUTHORITY\SYSTEM"
"Server58","11/9/2019 12:00:00 AM","MSKB9587712","Security Update","NT AUTHORITY\SYSTEM"
"Server58","11/9/2019 12:00:00 AM","MSKB7284459","Security Update","NT AUTHORITY\SYSTEM"
"Server60","11/9/2019 12:00:00 AM","MSKB5783701","Security Update","NT AUTHORITY\SYSTEM"
"Server60","11/9/2019 12:00:00 AM","MSKB4865525","Update","NT AUTHORITY\SYSTEM"
"Server60","11/9/2019 12:00:00 AM","MSKB8152318","Security Update","NT AUTHORITY\SYSTEM"
"Server60","11/9/2019 12:00:00 AM","MSKB3364175","Update","NT AUTHORITY\SYSTEM"
"Server62","11/9/2019 12:00:00 AM","MSKB1499796","Update","NT AUTHORITY\SYSTEM"
"Server63","11/9/2019 12:00:00 AM","MSKB6459903","Update","NT AUTHORITY\SYSTEM"
"Server63","11/9/2019 12:00:00 AM","MSKB4337168","Security Update","NT AUTHORITY\SYSTEM"
"Server64","11/9/2019 12:00:00 AM","MSKB2772973","Security Update","NT AUTHORITY\SYSTEM"
"Server64","11/9/2019 12:00:00 AM","MSKB9955790","Update","NT AUTHORITY\SYSTEM"
"Server65","11/9/2019 12:00:00 AM","MSKB7031665","Update","NT AUTHORITY\SYSTEM"
"Server65","11/9/2019 12:00:00 AM","MSKB6924175","Update","NT AUTHORITY\SYSTEM"
"Server65","11/9/2019 12:00:00 AM","MSKB9249835","Update","NT AUTHORITY\SYSTEM"
"Server65","11/9/2019 12:00:00 AM","MSKB9569104","Security Update","NT AUTHORITY\SYSTEM"
"Server66","11/9/2019 12:00:00 AM","MSKB8387044","Update","NT AUTHORITY\SYSTEM"
"Server66","11/9/2019 12:00:00 AM","MSKB7581781","Update","NT AUTHORITY\SYSTEM"
"Server67","11/9/2019 12:00:00 AM","MSKB8700710","Update","NT AUTHORITY\SYSTEM"
"Server67","11/9/2019 12:00:00 AM","MSKB9379711","Update","NT AUTHORITY\SYSTEM"
"Server67","11/9/2019 12:00:00 AM","MSKB5788877","Security Update","NT AUTHORITY\SYSTEM"
"Server67","11/9/2019 12:00:00 AM","MSKB8706967","Update","NT AUTHORITY\SYSTEM"
"Server68","11/9/2019 12:00:00 AM","MSKB5691251","Update","NT AUTHORITY\SYSTEM"
"Server69","11/9/2019 12:00:00 AM","MSKB8392725","Update","NT AUTHORITY\SYSTEM"
"Server69","11/9/2019 12:00:00 AM","MSKB2863550","Update","NT AUTHORITY\SYSTEM"
"Server69","11/9/2019 12:00:00 AM","MSKB6658976","Security Update","NT AUTHORITY\SYSTEM"
"Server70","11/9/2019 12:00:00 AM","MSKB8252840","Security Update","NT AUTHORITY\SYSTEM"
"Server70","11/9/2019 12:00:00 AM","MSKB4539444","Update","NT AUTHORITY\SYSTEM"
"Server70","11/9/2019 12:00:00 AM","MSKB1190325","Update","NT AUTHORITY\SYSTEM"
"Server70","11/9/2019 12:00:00 AM","MSKB5968041","Update","NT AUTHORITY\SYSTEM"
"Server71","11/9/2019 12:00:00 AM","MSKB9139938","Update","NT AUTHORITY\SYSTEM"
"Server72","11/9/2019 12:00:00 AM","MSKB6620530","Security Update","NT AUTHORITY\SYSTEM"
"Server73","11/9/2019 12:00:00 AM","MSKB7689332","Security Update","NT AUTHORITY\SYSTEM"
"Server73","11/9/2019 12:00:00 AM","MSKB8470688","Security Update","NT AUTHORITY\SYSTEM"
"Server73","11/9/2019 12:00:00 AM","MSKB3965846","Update","NT AUTHORITY\SYSTEM"
"Server73","11/9/2019 12:00:00 AM","MSKB4876088","Security Update","NT AUTHORITY\SYSTEM"
"Server74","11/9/2019 12:00:00 AM","MSKB6094799","Update","NT AUTHORITY\SYSTEM"
"Server74","11/9/2019 12:00:00 AM","MSKB7561335","Update","NT AUTHORITY\SYSTEM"
"Server74","11/9/2019 12:00:00 AM","MSKB1694600","Security Update","NT AUTHORITY\SYSTEM"
"Server75","11/9/2019 12:00:00 AM","MSKB8523084","Security Update","NT AUTHORITY\SYSTEM"
"Server75","11/9/2019 12:00:00 AM","MSKB8402816","Update","NT AUTHORITY\SYSTEM"
"Server77","11/9/2019 12:00:00 AM","MSKB8780631","Security Update","NT AUTHORITY\SYSTEM"
"Server77","11/9/2019 12:00:00 AM","MSKB9525621","Update","NT AUTHORITY\SYSTEM"
"Server79","11/9/2019 12:00:00 AM","MSKB1618259","Security Update","NT AUTHORITY\SYSTEM"
"Server79","11/9/2019 12:00:00 AM","MSKB8401559","Security Update","NT AUTHORITY\SYSTEM"
"Server79","11/9/2019 12:00:00 AM","MSKB8015518","Security Update","NT AUTHORITY\SYSTEM"
"Server79","11/9/2019 12:00:00 AM","MSKB4008524","Update","NT AUTHORITY\SYSTEM"
"Server81","11/9/2019 12:00:00 AM","MSKB7410283","Update","NT AUTHORITY\SYSTEM"
"Server81","11/9/2019 12:00:00 AM","MSKB4696019","Update","NT AUTHORITY\SYSTEM"
"Server81","11/9/2019 12:00:00 AM","MSKB1451123","Update","NT AUTHORITY\SYSTEM"
"Server84","11/9/2019 12:00:00 AM","MSKB5253236","Update","NT AUTHORITY\SYSTEM"
"Server84","11/9/2019 12:00:00 AM","MSKB5798162","Security Update","NT AUTHORITY\SYSTEM"
"Server84","11/9/2019 12:00:00 AM","MSKB3218867","Security Update","NT AUTHORITY\SYSTEM"
"Server85","11/9/2019 12:00:00 AM","MSKB4675892","Security Update","NT AUTHORITY\SYSTEM"
"Server85","11/9/2019 12:00:00 AM","MSKB3315145","Update","NT AUTHORITY\SYSTEM"
"Server85","11/9/2019 12:00:00 AM","MSKB3638076","Update","NT AUTHORITY\SYSTEM"
"Server85","11/9/2019 12:00:00 AM","MSKB4702587","Security Update","NT AUTHORITY\SYSTEM"
"Server86","11/9/2019 12:00:00 AM","MSKB3256550","Update","NT AUTHORITY\SYSTEM"
"Server86","11/9/2019 12:00:00 AM","MSKB3278031","Update","NT AUTHORITY\SYSTEM"
"Server87","11/9/2019 12:00:00 AM","MSKB2555337","Security Update","NT AUTHORITY\SYSTEM"
"Server87","11/9/2019 12:00:00 AM","MSKB5885476","Update","NT AUTHORITY\SYSTEM"
"Server87","11/9/2019 12:00:00 AM","MSKB4636195","Update","NT AUTHORITY\SYSTEM"
"Server88","11/9/2019 12:00:00 AM","MSKB4901659","Update","NT AUTHORITY\SYSTEM"
"Server88","11/9/2019 12:00:00 AM","MSKB1535585","Update","NT AUTHORITY\SYSTEM"
"Server88","11/9/2019 12:00:00 AM","MSKB6726579","Update","NT AUTHORITY\SYSTEM"
"Server89","11/9/2019 12:00:00 AM","MSKB4884200","Update","NT AUTHORITY\SYSTEM"
"Server89","11/9/2019 12:00:00 AM","MSKB1083246","Security Update","NT AUTHORITY\SYSTEM"
"Server89","11/9/2019 12:00:00 AM","MSKB3027993","Update","NT AUTHORITY\SYSTEM"
"Server90","11/9/2019 12:00:00 AM","MSKB1190594","Security Update","NT AUTHORITY\SYSTEM"
"Server90","11/9/2019 12:00:00 AM","MSKB1287604","Security Update","NT AUTHORITY\SYSTEM"
"Server90","11/9/2019 12:00:00 AM","MSKB1882359","Update","NT AUTHORITY\SYSTEM"
"Server90","11/9/2019 12:00:00 AM","MSKB2424056","Update","NT AUTHORITY\SYSTEM"
"Server91","11/9/2019 12:00:00 AM","MSKB6005739","Update","NT AUTHORITY\SYSTEM"
"Server91","11/9/2019 12:00:00 AM","MSKB9678687","Security Update","NT AUTHORITY\SYSTEM"
"Server91","11/9/2019 12:00:00 AM","MSKB1317381","Security Update","NT AUTHORITY\SYSTEM"
"Server92","11/9/2019 12:00:00 AM","MSKB5867707","Security Update","NT AUTHORITY\SYSTEM"
"Server92","11/9/2019 12:00:00 AM","MSKB5007098","Security Update","NT AUTHORITY\SYSTEM"
"Server92","11/9/2019 12:00:00 AM","MSKB5042272","Security Update","NT AUTHORITY\SYSTEM"
"Server93","11/9/2019 12:00:00 AM","MSKB1107098","Update","NT AUTHORITY\SYSTEM"
"Server93","11/9/2019 12:00:00 AM","MSKB2048428","Update","NT AUTHORITY\SYSTEM"
"Server93","11/9/2019 12:00:00 AM","MSKB9485529","Update","NT AUTHORITY\SYSTEM"
"Server93","11/9/2019 12:00:00 AM","MSKB3146928","Update","NT AUTHORITY\SYSTEM"
"Server94","11/9/2019 12:00:00 AM","MSKB4999338","Security Update","NT AUTHORITY\SYSTEM"
"Server96","11/9/2019 12:00:00 AM","MSKB3337652","Update","NT AUTHORITY\SYSTEM"
"Server97","11/9/2019 12:00:00 AM","MSKB2308727","Security Update","NT AUTHORITY\SYSTEM"
"Server97","11/9/2019 12:00:00 AM","MSKB7157826","Update","NT AUTHORITY\SYSTEM"
"Server97","11/9/2019 12:00:00 AM","MSKB2326281","Update","NT AUTHORITY\SYSTEM"
"Server97","11/9/2019 12:00:00 AM","MSKB5492606","Security Update","NT AUTHORITY\SYSTEM"
"Server98","11/9/2019 12:00:00 AM","MSKB5806976","Security Update","NT AUTHORITY\SYSTEM"
"Server98","11/9/2019 12:00:00 AM","MSKB3873497","Security Update","NT AUTHORITY\SYSTEM"
"Server99","11/9/2019 12:00:00 AM","MSKB5895348","Security Update","NT AUTHORITY\SYSTEM"
"Server99","11/9/2019 12:00:00 AM","MSKB1021567","Update","NT AUTHORITY\SYSTEM"
"Server99","11/9/2019 12:00:00 AM","MSKB2055438","Security Update","NT AUTHORITY\SYSTEM"
"Server99","11/9/2019 12:00:00 AM","MSKB2355522","Security Update","NT AUTHORITY\SYSTEM"
"Server2","11/16/2019 12:00:00 AM","MSKB5045886","Update","NT AUTHORITY\SYSTEM"
"Server2","11/16/2019 12:00:00 AM","MSKB2915607","Security Update","NT AUTHORITY\SYSTEM"
"Server4","11/16/2019 12:00:00 AM","MSKB4813010","Security Update","NT AUTHORITY\SYSTEM"
"Server5","11/16/2019 12:00:00 AM","MSKB6180607","Update","NT AUTHORITY\SYSTEM"
"Server6","11/16/2019 12:00:00 AM","MSKB8430525","Security Update","NT AUTHORITY\SYSTEM"
"Server6","11/16/2019 12:00:00 AM","MSKB7698173","Security Update","NT AUTHORITY\SYSTEM"
"Server6","11/16/2019 12:00:00 AM","MSKB4121247","Security Update","NT AUTHORITY\SYSTEM"
"Server6","11/16/2019 12:00:00 AM","MSKB2390162","Security Update","NT AUTHORITY\SYSTEM"
"Server7","11/16/2019 12:00:00 AM","MSKB4314080","Security Update","NT AUTHORITY\SYSTEM"
"Server8","11/16/2019 12:00:00 AM","MSKB2547735","Security Update","NT AUTHORITY\SYSTEM"
"Server9","11/16/2019 12:00:00 AM","MSKB4679603","Update","NT AUTHORITY\SYSTEM"
"Server9","11/16/2019 12:00:00 AM","MSKB1480565","Update","NT AUTHORITY\SYSTEM"
"Server9","11/16/2019 12:00:00 AM","MSKB3307581","Security Update","NT AUTHORITY\SYSTEM"
"Server9","11/16/2019 12:00:00 AM","MSKB4945945","Security Update","NT AUTHORITY\SYSTEM"
"Server11","11/16/2019 12:00:00 AM","MSKB8161987","Security Update","NT AUTHORITY\SYSTEM"
"Server11","11/16/2019 12:00:00 AM","MSKB8937293","Update","NT AUTHORITY\SYSTEM"
"Server14","11/16/2019 12:00:00 AM","MSKB9045342","Update","NT AUTHORITY\SYSTEM"
"Server14","11/16/2019 12:00:00 AM","MSKB4702515","Update","NT AUTHORITY\SYSTEM"
"Server14","11/16/2019 12:00:00 AM","MSKB8431805","Security Update","NT AUTHORITY\SYSTEM"
"Server15","11/16/2019 12:00:00 AM","MSKB2829771","Update","NT AUTHORITY\SYSTEM"
"Server15","11/16/2019 12:00:00 AM","MSKB4220299","Security Update","NT AUTHORITY\SYSTEM"
"Server15","11/16/2019 12:00:00 AM","MSKB4922090","Security Update","NT AUTHORITY\SYSTEM"
"Server18","11/16/2019 12:00:00 AM","MSKB7056336","Security Update","NT AUTHORITY\SYSTEM"
"Server18","11/16/2019 12:00:00 AM","MSKB7694686","Update","NT AUTHORITY\SYSTEM"
"Server20","11/16/2019 12:00:00 AM","MSKB8936121","Update","NT AUTHORITY\SYSTEM"
"Server22","11/16/2019 12:00:00 AM","MSKB3941699","Update","NT AUTHORITY\SYSTEM"
"Server25","11/16/2019 12:00:00 AM","MSKB6902023","Security Update","NT AUTHORITY\SYSTEM"
"Server25","11/16/2019 12:00:00 AM","MSKB1069110","Security Update","NT AUTHORITY\SYSTEM"
"Server25","11/16/2019 12:00:00 AM","MSKB7065326","Security Update","NT AUTHORITY\SYSTEM"
"Server27","11/16/2019 12:00:00 AM","MSKB6472956","Update","NT AUTHORITY\SYSTEM"
"Server27","11/16/2019 12:00:00 AM","MSKB4246275","Update","NT AUTHORITY\SYSTEM"
"Server27","11/16/2019 12:00:00 AM","MSKB9906786","Security Update","NT AUTHORITY\SYSTEM"
"Server27","11/16/2019 12:00:00 AM","MSKB1102636","Update","NT AUTHORITY\SYSTEM"
"Server28","11/16/2019 12:00:00 AM","MSKB6290741","Security Update","NT AUTHORITY\SYSTEM"
"Server28","11/16/2019 12:00:00 AM","MSKB7789025","Security Update","NT AUTHORITY\SYSTEM"
"Server28","11/16/2019 12:00:00 AM","MSKB4006696","Security Update","NT AUTHORITY\SYSTEM"
"Server29","11/16/2019 12:00:00 AM","MSKB2669519","Security Update","NT AUTHORITY\SYSTEM"
"Server29","11/16/2019 12:00:00 AM","MSKB8466814","Security Update","NT AUTHORITY\SYSTEM"
"Server29","11/16/2019 12:00:00 AM","MSKB1456391","Security Update","NT AUTHORITY\SYSTEM"
"Server29","11/16/2019 12:00:00 AM","MSKB6145941","Update","NT AUTHORITY\SYSTEM"
"Server30","11/16/2019 12:00:00 AM","MSKB2977014","Update","NT AUTHORITY\SYSTEM"
"Server31","11/16/2019 12:00:00 AM","MSKB5031066","Update","NT AUTHORITY\SYSTEM"
"Server32","11/16/2019 12:00:00 AM","MSKB3657056","Security Update","NT AUTHORITY\SYSTEM"
"Server32","11/16/2019 12:00:00 AM","MSKB6322672","Security Update","NT AUTHORITY\SYSTEM"
"Server32","11/16/2019 12:00:00 AM","MSKB8117260","Security Update","NT AUTHORITY\SYSTEM"
"Server33","11/16/2019 12:00:00 AM","MSKB3316738","Update","NT AUTHORITY\SYSTEM"
"Server33","11/16/2019 12:00:00 AM","MSKB3616043","Security Update","NT AUTHORITY\SYSTEM"
"Server34","11/16/2019 12:00:00 AM","MSKB3702701","Security Update","NT AUTHORITY\SYSTEM"
"Server34","11/16/2019 12:00:00 AM","MSKB3158445","Update","NT AUTHORITY\SYSTEM"
"Server34","11/16/2019 12:00:00 AM","MSKB6713929","Security Update","NT AUTHORITY\SYSTEM"
"Server34","11/16/2019 12:00:00 AM","MSKB4752142","Security Update","NT AUTHORITY\SYSTEM"
"Server35","11/16/2019 12:00:00 AM","MSKB5588074","Update","NT AUTHORITY\SYSTEM"
"Server35","11/16/2019 12:00:00 AM","MSKB7059672","Update","NT AUTHORITY\SYSTEM"
"Server36","11/16/2019 12:00:00 AM","MSKB1344700","Security Update","NT AUTHORITY\SYSTEM"
"Server36","11/16/2019 12:00:00 AM","MSKB8810237","Security Update","NT AUTHORITY\SYSTEM"
"Server36","11/16/2019 12:00:00 AM","MSKB6876725","Update","NT AUTHORITY\SYSTEM"
"Server37","11/16/2019 12:00:00 AM","MSKB9921769","Security Update","NT AUTHORITY\SYSTEM"
"Server37","11/16/2019 12:00:00 AM","MSKB1291766","Update","NT AUTHORITY\SYSTEM"
"Server37","11/16/2019 12:00:00 AM","MSKB1407123","Security Update","NT AUTHORITY\SYSTEM"
"Server40","11/16/2019 12:00:00 AM","MSKB9928956","Security Update","NT AUTHORITY\SYSTEM"
"Server40","11/16/2019 12:00:00 AM","MSKB6062646","Update","NT AUTHORITY\SYSTEM"
"Server40","11/16/2019 12:00:00 AM","MSKB5940961","Security Update","NT AUTHORITY\SYSTEM"
"Server41","11/16/2019 12:00:00 AM","MSKB6329704","Security Update","NT AUTHORITY\SYSTEM"
"Server41","11/16/2019 12:00:00 AM","MSKB9802928","Security Update","NT AUTHORITY\SYSTEM"
"Server43","11/16/2019 12:00:00 AM","MSKB9294385","Security Update","NT AUTHORITY\SYSTEM"
"Server43","11/16/2019 12:00:00 AM","MSKB1325248","Update","NT AUTHORITY\SYSTEM"
"Server43","11/16/2019 12:00:00 AM","MSKB1677494","Update","NT AUTHORITY\SYSTEM"
"Server43","11/16/2019 12:00:00 AM","MSKB5879854","Update","NT AUTHORITY\SYSTEM"
"Server44","11/16/2019 12:00:00 AM","MSKB5338203","Security Update","NT AUTHORITY\SYSTEM"
"Server44","11/16/2019 12:00:00 AM","MSKB1920597","Security Update","NT AUTHORITY\SYSTEM"
"Server44","11/16/2019 12:00:00 AM","MSKB5822390","Security Update","NT AUTHORITY\SYSTEM"
"Server46","11/16/2019 12:00:00 AM","MSKB4394300","Security Update","NT AUTHORITY\SYSTEM"
"Server47","11/16/2019 12:00:00 AM","MSKB4531434","Update","NT AUTHORITY\SYSTEM"
"Server47","11/16/2019 12:00:00 AM","MSKB8520013","Update","NT AUTHORITY\SYSTEM"
"Server47","11/16/2019 12:00:00 AM","MSKB6675532","Update","NT AUTHORITY\SYSTEM"
