"Source","InstalledOn","Description","InstalledBy"
"Server7","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server7","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server8","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server9","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server9","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server9","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server9","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server9","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server9","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server10","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server10","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server10","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server12","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server12","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server13","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server13","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server13","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server13","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server13","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server14","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server14","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server14","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server14","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server15","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server15","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server15","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server15","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server16","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server16","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server16","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server16","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server17","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server17","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server18","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server18","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server18","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server19","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server20","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server20","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server20","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server20","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server20","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server20","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server21","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server22","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server24","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server25","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server25","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server25","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server30","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server30","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server30","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server30","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server31","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server33","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server33","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server33","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server33","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server33","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server34","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server34","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server34","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server36","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server39","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server39","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server40","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server42","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server42","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server42","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server42","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server42","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server42","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server43","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server44","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server44","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server44","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server46","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server46","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server46","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server48","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server48","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server48","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server49","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server50","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server50","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server50","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server50","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server50","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server51","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server51","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server51","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server51","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server51","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server51","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server51","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server52","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server52","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server52","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server52","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server52","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server52","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server52","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server54","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server56","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server56","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server56","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server57","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server57","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server57","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server57","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server57","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server58","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server58","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server58","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server58","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server59","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server59","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server59","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server60","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server60","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server60","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server60","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server60","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server60","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server61","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server61","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server61","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server61","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server61","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server61","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server61","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server62","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server62","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server62","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server62","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server63","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server63","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server63","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server63","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server63","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server64","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server64","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server64","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server66","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server66","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server66","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server66","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server66","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server66","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server67","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server67","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server67","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server67","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server68","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server68","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server68","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server68","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server68","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server68","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server68","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server70","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server70","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server70","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server70","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server70","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server70","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server71","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server71","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server71","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server71","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server71","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server72","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server72","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server72","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server72","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server72","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server72","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server72","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server73","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server73","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server74","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server74","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server74","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server74","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server74","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server74","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server76","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server76","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server76","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server76","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server77","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server77","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server77","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server77","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server77","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server77","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server78","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server79","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server79","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server79","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server79","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server79","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server79","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server81","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server81","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server81","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server82","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server82","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server83","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server83","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server83","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server83","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server83","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server84","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server85","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server85","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server85","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server85","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server85","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server85","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server88","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server88","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server88","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server88","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server88","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server88","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server89","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server89","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server89","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server89","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server90","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server90","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server90","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server90","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server91","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server91","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server92","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server92","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server92","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server93","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server94","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server94","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server95","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server95","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server95","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server95","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server95","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server95","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server96","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server96","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server96","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server96","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
"Server96","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server96","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server97","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server97","1/4/2020 12:00:00 AM","Security Update","NT AUTHORITY\SYSTEM"
"Server97","1/4/2020 12:00:00 AM","Update","NT AUTHORITY\SYSTEM"
